n_parties,n_inds,n_large_parties,perc_large_votes
34,7,2,0.9838161093699618
45,4,6,0.8695458187153403
35,3,2,0.9866020588088699
39,9,0,
40,6,1,0.8585862873684478
39,6,3,0.7792569547807703
47,3,2,0.7447388327905101
53,7,2,0.9372344294685077
46,7,2,0.7524781628162613
41,6,5,0.7920753768726257
42,4,2,0.9344946034124
33,5,4,0.896250776771821
47,4,5,0.8056354208214623
47,3,7,0.9815226564561998
32,6,5,0.985853088286466
47,3,6,0.8180293711806209
37,3,3,0.8361602421920691
46,1,3,0.952919021619774
53,7,7,0.9875287684189396
31,7,4,0.825714900582494
31,8,2,0.9721413729245264
41,6,6,0.8725457599767551
32,2,6,0.933378280853082
46,6,4,0.9263348699934681
28,5,3,0.8929235080885987
40,7,2,0.7064315064344213
44,7,2,0.8301220677161008
39,12,0,
36,3,8,0.878411683518746
33,3,3,0.8906721165072276
39,2,1,0.9361559262848743
49,5,6,0.9370998166637143
36,4,1,0.8816484532265707
31,7,2,0.7709167574181243
41,5,2,0.8505876492558698
49,7,2,0.9245762742683408
47,11,4,0.8446330455603797
40,4,2,0.8538123616512014
29,7,3,0.9106971258338878
54,2,2,0.9327540329653734
41,5,1,0.798922105972255
36,6,3,0.792192845550518
41,5,6,0.8819810185422988
36,4,3,0.9854771473940477
37,3,2,0.8232321178215946
47,5,1,0.9577112668659937
47,1,2,0.9034388242130093
37,3,3,0.866334548838465
47,6,2,0.7716582615251275
45,4,6,0.9403363653431418
39,3,2,0.8162179041200686
45,5,3,0.7965744933759752
25,4,6,0.8669901151454602
42,8,3,0.8914959600209478
36,5,3,0.6525131155543907
45,4,2,0.8551416729478509
45,4,0,
46,4,4,0.9687996891484654
32,3,4,0.6916980556605493
37,6,3,0.8397359512964316
40,4,1,0.8270241760807855
28,6,1,0.9845648279831593
41,3,1,0.9735089015444213
41,3,4,0.8421236450778946
42,5,2,0.8695454615889229
40,6,2,0.7540902170180533
46,6,2,0.9596275796774577
38,4,5,0.7839347978775475
24,6,5,0.721390998128647
41,5,5,0.8605168889338728
34,4,3,0.8571041012453384
54,8,4,0.8257864281155333
48,2,4,0.9339441384912562
44,2,1,0.9112718118199657
34,9,4,0.8755798227411024
42,6,3,0.8794858550543493
39,5,4,0.8468853756892695
34,4,6,0.8855945922181294
51,6,4,0.9861433468167818
27,7,2,0.7854555249463984
33,6,3,0.8540553690795492
41,4,1,0.7626575103123117
39,3,0,
31,4,4,0.8618075657405744
31,7,3,0.9168900087417805
46,7,1,0.9293337392800042
53,5,6,0.8381046162786205
39,4,1,0.9463927545230754
41,3,2,0.924025891966811
45,5,4,0.987512128260406
33,8,2,0.8443760761905371
44,4,2,0.9385012458074359
43,10,3,0.8754575071907058
42,1,5,0.9839890270636602
37,5,3,0.9550604940588371
47,6,3,0.8835112498319693
42,7,2,0.922623255715132
37,2,4,0.7340962172927447
33,8,9,0.8578857754164654
41,7,5,0.8262382187873325
33,4,4,0.7151898106162323
37,8,0,
42,6,1,0.8366208169754049
44,8,7,0.9259568878928274
37,6,2,0.8862482577104357
31,3,2,0.8878572899628281
31,5,2,0.8707931074381934
45,8,1,0.8405390667253098
52,5,4,0.8788646872675983
36,3,6,0.816198480020893
47,6,1,0.9254369568900165
50,5,2,0.870496123372926
31,3,5,0.9010671442330829
35,7,3,0.8632653432164441
39,4,1,0.8760095045104032
28,5,1,0.7466601753750641
44,3,4,0.9072988117428992
35,4,1,0.81929002685438
47,5,5,0.8160275691901153
42,3,2,0.8990435883143498
40,3,1,0.9747347642088237
