party,votes,is_ind,region
party_1,19619,False,ec
party_2,16965,False,ec
party_3,112831,False,ec
party_4,15,False,ec
party_5,756,False,ec
party_6,1384,False,ec
party_7,243,False,ec
party_8,415,False,ec
party_9,716,False,ec
party_10,33,False,ec
party_11,1478,False,ec
party_12,139,False,ec
party_13,2437,False,ec
party_14,167,False,ec
party_15,215,False,ec
party_16,70,False,ec
party_17,630,False,ec
party_18,483,False,ec
party_19,2052,False,ec
party_20,301,False,ec
party_21,61,False,ec
party_22,100,False,ec
party_23,41,False,ec
party_24,465,False,ec
party_25,827,False,ec
party_26,807,False,ec
party_27,157,False,ec
party_28,739,False,ec
party_29,144,False,ec
party_30,766,False,ec
party_31,1158,False,ec
party_32,267,False,ec
party_33,1891,False,ec
party_34,666,False,ec
party_35,81,False,ec
party_36,1468,False,ec
ind_1,1849940,True,ec
party_1,50471,False,fs
party_2,10030,False,fs
party_3,305020,False,fs
party_4,3349,False,fs
party_5,271,False,fs
party_6,1774,False,fs
party_7,476,False,fs
party_8,752,False,fs
party_9,1616,False,fs
party_10,1280,False,fs
party_11,2445,False,fs
party_12,1200,False,fs
party_13,3421,False,fs
party_14,1086,False,fs
party_15,180,False,fs
party_16,47,False,fs
party_17,68,False,fs
party_18,4366,False,fs
party_19,650,False,fs
party_20,2181,False,fs
party_21,202,False,fs
party_22,4818,False,fs
party_23,83,False,fs
party_24,216,False,fs
party_25,973,False,fs
party_26,2104,False,fs
party_27,1408,False,fs
party_28,3106,False,fs
party_29,60,False,fs
party_30,3731,False,fs
party_31,1038,False,fs
party_32,3530,False,fs
party_33,1240,False,fs
party_34,1232,False,fs
party_35,1337,False,fs
party_36,1554,False,fs
ind_1,489897,True,fs
party_1,534697,False,gp
party_2,1039601,False,gp
party_3,1442122,False,gp
party_4,11548,False,gp
party_5,4471,False,gp
party_6,25678,False,gp
party_7,4117,False,gp
party_8,18378,False,gp
party_9,29013,False,gp
party_10,22189,False,gp
party_11,2966,False,gp
party_12,4920,False,gp
party_13,1157,False,gp
party_14,584,False,gp
party_15,12996,False,gp
party_16,9484,False,gp
party_17,7401,False,gp
party_18,9232,False,gp
party_19,14950,False,gp
party_20,481,False,gp
party_21,4688,False,gp
party_22,5751,False,gp
party_23,43612,False,gp
party_24,8991,False,gp
party_25,11493,False,gp
party_26,10052,False,gp
party_27,9649,False,gp
party_28,19410,False,gp
party_29,10909,False,gp
party_30,32909,False,gp
party_31,34044,False,gp
party_32,24040,False,gp
party_33,13307,False,gp
party_34,7280,False,gp
party_35,11059,False,gp
party_36,660,False,gp
ind_1,1093563,True,gp
party_1,755940,False,kzn
party_2,82006,False,kzn
party_3,750749,False,kzn
party_4,8525,False,kzn
party_5,1748,False,kzn
party_6,2349,False,kzn
party_7,8649,False,kzn
party_8,3204,False,kzn
