party,votes,is_ind,region
party_1,186141,False,ec
party_2,187891,False,ec
party_3,93239,False,ec
party_4,44912,False,ec
party_5,-30515,False,ec
party_6,27158,False,ec
party_7,5404,False,ec
party_8,-46231,False,ec
party_9,49789,False,ec
party_10,3127,False,ec
party_11,-52946,False,ec
party_12,39256,False,ec
party_13,7326,False,ec
party_14,-33357,False,ec
party_15,2856,False,ec
party_16,-9379,False,ec
party_17,17066,False,ec
party_18,12473,False,ec
party_19,-32579,False,ec
party_20,30910,False,ec
party_21,23893,False,ec
party_22,-42062,False,ec
party_23,34833,False,ec
party_24,-19627,False,ec
party_25,21791,False,ec
party_26,-48612,False,ec
party_27,2849,False,ec
party_28,13029,False,ec
party_29,35054,False,ec
party_30,-19159,False,ec
party_31,-13683,False,ec
party_32,8091,False,ec
party_33,-20537,False,ec
party_34,10842,False,ec
party_35,18447,False,ec
party_36,12369,False,ec
party_37,-51621,False,ec
party_38,26025,False,ec
party_39,-26130,False,ec
party_40,17478,False,ec
party_41,5704,False,ec
party_42,-2699,False,ec
party_43,144,False,ec
party_44,-10515,False,ec
party_45,11751,False,ec
party_46,36544,False,ec
ind_1,912606,True,ec
ind_2,-23141,True,ec
ind_3,-355829,True,ec
ind_4,407582,True,ec
ind_5,-903116,True,ec
ind_6,1455685,True,ec
party_1,74460,False,fs
party_2,290318,False,fs
party_3,34427,False,fs
party_4,24394,False,fs
party_5,-17593,False,fs
party_6,30813,False,fs
party_7,-30883,False,fs
party_8,41405,False,fs
party_9,-24511,False,fs
party_10,-6288,False,fs
party_11,17970,False,fs
party_12,-28251,False,fs
party_13,4460,False,fs
party_14,32745,False,fs
party_15,-42719,False,fs
party_16,20135,False,fs
party_17,25055,False,fs
party_18,3611,False,fs
party_19,-11262,False,fs
party_20,-11512,False,fs
party_21,-4247,False,fs
party_22,-4257,False,fs
party_23,-1141,False,fs
party_24,4632,False,fs
party_25,4406,False,fs
party_26,1333,False,fs
party_27,-14488,False,fs
party_28,28541,False,fs
party_29,-15916,False,fs
party_30,-8683,False,fs
party_31,23710,False,fs
party_32,-15203,False,fs
party_33,14006,False,fs
party_34,-3182,False,fs
party_35,-35756,False,fs
party_36,24407,False,fs
party_37,10178,False,fs
party_38,-12106,False,fs
party_39,-3933,False,fs
party_40,14708,False,fs
party_41,-27990,False,fs
party_42,31481,False,fs
party_43,-11279,False,fs
party_44,-1501,False,fs
party_45,2889,False,fs
party_46,22628,False,fs
ind_1,15485,True,fs
ind_2,291141,True,fs
ind_3,-220438,True,fs
ind_4,-81440,True,fs
ind_5,213093,True,fs
ind_6,239360,True,fs
party_1,790141,False,gp
party_2,1955260,False,gp
party_3,43576,False,gp
party_4,30355,False,gp
party_5,156488,False,gp
party_6,-30301,False,gp
party_7,16874,False,gp
party_8,131646,False,gp
party_9,9306,False,gp
party_10,-275070,False,gp
party_11,303065,False,gp
party_12,-280734,False,gp
party_13,266555,False,gp
party_14,-97277,False,gp
party_15,59253,False,gp
party_16,-266200,False,gp
party_17,271775,False,gp
party_18,-81815,False,gp
party_19,28884,False,gp
party_20,55735,False,gp
party_21,-168844,False,gp
party_22,167069,False,gp
party_23,-62478,False,gp
